support,itemsets
0.2727272727272727,frozenset({'DTDC'})
0.26573426573426573,frozenset({'East'})
0.26573426573426573,frozenset({'West'})
0.25874125874125875,frozenset({'North'})
0.2517482517482518,frozenset({'Delhivery'})
0.24475524475524477,frozenset({'BlueDart'})
0.23776223776223776,frozenset({'Unknown'})
0.23076923076923078,frozenset({'Motor'})
0.23076923076923078,frozenset({'Amazon Logistics'})
0.21678321678321677,frozenset({'Gamma Industries'})
0.2097902097902098,frozenset({'Bearing'})
0.2097902097902098,frozenset({'South'})
0.20279720279720279,frozenset({'Epsilon Exports'})
0.20279720279720279,frozenset({'Delta Corp'})
0.1888111888111888,frozenset({'Alpha Ltd'})
0.1888111888111888,frozenset({'Beta Co'})
0.17482517482517482,frozenset({'Traffic'})
0.17482517482517482,frozenset({'Supplier issue'})
0.16783216783216784,frozenset({'Controller'})
0.15384615384615385,frozenset({'Customs'})
0.15384615384615385,frozenset({'Weather'})
0.15384615384615385,frozenset({'Pump'})
0.1258741258741259,frozenset({'Sensor'})
0.11188811188811189,frozenset({'Valve'})
0.1048951048951049,frozenset({'Carrier issue'})
0.1048951048951049,"frozenset({'North', 'DTDC'})"
0.1048951048951049,"frozenset({'West', 'Gamma Industries'})"
0.09090909090909091,"frozenset({'North', 'Epsilon Exports'})"
0.08391608391608392,"frozenset({'DTDC', 'Unknown'})"
0.08391608391608392,"frozenset({'East', 'Delhivery'})"
0.08391608391608392,"frozenset({'Delta Corp', 'East'})"
0.07692307692307693,"frozenset({'DTDC', 'Gamma Industries'})"
0.07692307692307693,"frozenset({'BlueDart', 'West'})"
0.07692307692307693,"frozenset({'Alpha Ltd', 'DTDC'})"
0.07692307692307693,"frozenset({'Traffic', 'Delhivery'})"
0.06993006993006994,"frozenset({'Epsilon Exports', 'Motor'})"
0.06993006993006994,"frozenset({'Motor', 'Delhivery'})"
0.06993006993006994,"frozenset({'Epsilon Exports', 'Delhivery'})"
0.06993006993006994,"frozenset({'BlueDart', 'South'})"
0.06993006993006994,"frozenset({'BlueDart', 'Gamma Industries'})"
0.06993006993006994,"frozenset({'Motor', 'DTDC'})"
0.06993006993006994,"frozenset({'Motor', 'East'})"
0.06993006993006994,"frozenset({'Delta Corp', 'Amazon Logistics'})"
0.06993006993006994,"frozenset({'West', 'Amazon Logistics'})"
0.06993006993006994,"frozenset({'Bearing', 'North'})"
0.06993006993006994,"frozenset({'Motor', 'Supplier issue'})"
0.06993006993006994,"frozenset({'West', 'Unknown'})"
0.06293706293706294,"frozenset({'South', 'Customs'})"
0.06293706293706294,"frozenset({'East', 'DTDC'})"
0.06293706293706294,"frozenset({'West', 'Controller'})"
0.06293706293706294,"frozenset({'BlueDart', 'Motor'})"
0.06293706293706294,"frozenset({'South', 'Unknown'})"
0.06293706293706294,"frozenset({'North', 'Delhivery'})"
0.06293706293706294,"frozenset({'East', 'Supplier issue'})"
0.06293706293706294,"frozenset({'South', 'Motor'})"
0.06293706293706294,"frozenset({'Traffic', 'East'})"
0.06293706293706294,"frozenset({'Delta Corp', 'Unknown'})"
0.06293706293706294,"frozenset({'Delhivery', 'Unknown'})"
0.06293706293706294,"frozenset({'North', 'Weather'})"
0.06293706293706294,"frozenset({'DTDC', 'Supplier issue'})"
0.06293706293706294,"frozenset({'West', 'Delhivery'})"
0.06293706293706294,"frozenset({'East', 'Amazon Logistics'})"
0.06293706293706294,"frozenset({'Bearing', 'DTDC'})"
0.06293706293706294,"frozenset({'Bearing', 'East'})"
0.06293706293706294,"frozenset({'Controller', 'Amazon Logistics'})"
0.06293706293706294,"frozenset({'Beta Co', 'Amazon Logistics'})"
0.055944055944055944,"frozenset({'North', 'Alpha Ltd'})"
0.055944055944055944,"frozenset({'West', 'Alpha Ltd'})"
0.055944055944055944,"frozenset({'Bearing', 'Amazon Logistics'})"
0.055944055944055944,"frozenset({'BlueDart', 'Bearing'})"
0.055944055944055944,"frozenset({'Bearing', 'Delta Corp'})"
0.055944055944055944,"frozenset({'Bearing', 'Unknown'})"
0.055944055944055944,"frozenset({'Beta Co', 'East'})"
0.055944055944055944,"frozenset({'BlueDart', 'Epsilon Exports'})"
0.055944055944055944,"frozenset({'DTDC', 'Weather'})"
0.055944055944055944,"frozenset({'Delta Corp', 'Delhivery'})"
0.055944055944055944,"frozenset({'Sensor', 'DTDC'})"
0.055944055944055944,"frozenset({'Motor', 'Gamma Industries'})"
0.055944055944055944,"frozenset({'West', 'DTDC'})"
0.055944055944055944,"frozenset({'West', 'Motor'})"
0.055944055944055944,"frozenset({'Epsilon Exports', 'Supplier issue'})"
0.055944055944055944,"frozenset({'East', 'Unknown'})"
0.055944055944055944,"frozenset({'BlueDart', 'East'})"
0.055944055944055944,"frozenset({'BlueDart', 'Customs'})"
0.055944055944055944,"frozenset({'Beta Co', 'Unknown'})"
0.04895104895104895,"frozenset({'Alpha Ltd', 'Delhivery'})"
0.04895104895104895,"frozenset({'Bearing', 'Beta Co'})"
0.04895104895104895,"frozenset({'Amazon Logistics', 'Unknown'})"
0.04895104895104895,"frozenset({'BlueDart', 'Beta Co'})"
0.04895104895104895,"frozenset({'Customs', 'Amazon Logistics'})"
0.04895104895104895,"frozenset({'East', 'Gamma Industries'})"
0.04895104895104895,"frozenset({'Pump', 'East'})"
0.04895104895104895,"frozenset({'South', 'Epsilon Exports'})"
0.04895104895104895,"frozenset({'Gamma Industries', 'Unknown'})"
0.04895104895104895,"frozenset({'Delta Corp', 'South'})"
0.04895104895104895,"frozenset({'Controller', 'Weather'})"
0.04895104895104895,"frozenset({'Traffic', 'Beta Co'})"
0.04895104895104895,"frozenset({'Controller', 'South'})"
0.04895104895104895,"frozenset({'West', 'Customs'})"
0.04895104895104895,"frozenset({'North', 'Sensor'})"
0.04895104895104895,"frozenset({'North', 'Unknown'})"
0.04895104895104895,"frozenset({'Traffic', 'North'})"
0.04895104895104895,"frozenset({'Pump', 'Amazon Logistics'})"
0.04895104895104895,"frozenset({'South', 'Amazon Logistics'})"
0.04895104895104895,"frozenset({'North', 'Amazon Logistics'})"
0.04895104895104895,"frozenset({'Bearing', 'Gamma Industries'})"
0.04895104895104895,"frozenset({'West', 'Bearing'})"
0.04895104895104895,"frozenset({'North', 'Beta Co'})"
0.04895104895104895,"frozenset({'Bearing', 'Traffic'})"
0.04895104895104895,"frozenset({'South', 'Beta Co'})"
0.04895104895104895,"frozenset({'Pump', 'Delhivery'})"
0.04895104895104895,"frozenset({'Pump', 'Customs'})"
0.04895104895104895,"frozenset({'South', 'DTDC'})"
0.04195804195804196,"frozenset({'Pump', 'Unknown'})"
0.04195804195804196,"frozenset({'West', 'Supplier issue'})"
0.04195804195804196,"frozenset({'Valve', 'Unknown'})"
0.04195804195804196,"frozenset({'Supplier issue', 'Gamma Industries'})"
0.04195804195804196,"frozenset({'North', 'Motor'})"
0.04195804195804196,"frozenset({'Valve', 'West'})"
0.04195804195804196,"frozenset({'Traffic', 'East', 'Delhivery'})"
0.04195804195804196,"frozenset({'Delta Corp', 'East', 'Delhivery'})"
0.04195804195804196,"frozenset({'Motor', 'Unknown'})"
0.04195804195804196,"frozenset({'North', 'Pump'})"
0.04195804195804196,"frozenset({'Delta Corp', 'Traffic'})"
0.04195804195804196,"frozenset({'Gamma Industries', 'Weather'})"
0.04195804195804196,"frozenset({'West', 'Delta Corp'})"
0.04195804195804196,"frozenset({'Carrier issue', 'Amazon Logistics'})"
0.04195804195804196,"frozenset({'Alpha Ltd', 'Weather'})"
0.04195804195804196,"frozenset({'Beta Co', 'Delhivery'})"
0.04195804195804196,"frozenset({'Motor', 'Beta Co'})"
0.04195804195804196,"frozenset({'Bearing', 'Weather'})"
0.04195804195804196,"frozenset({'East', 'Alpha Ltd'})"
0.04195804195804196,"frozenset({'Controller', 'Alpha Ltd'})"
0.04195804195804196,"frozenset({'Alpha Ltd', 'Unknown'})"
0.04195804195804196,"frozenset({'Traffic', 'Sensor'})"
0.04195804195804196,"frozenset({'North', 'Supplier issue'})"
0.04195804195804196,"frozenset({'South', 'Pump'})"
0.04195804195804196,"frozenset({'Carrier issue', 'North'})"
0.04195804195804196,"frozenset({'BlueDart', 'North'})"
0.04195804195804196,"frozenset({'Controller', 'Customs'})"
0.04195804195804196,"frozenset({'BlueDart', 'Pump'})"
0.04195804195804196,"frozenset({'BlueDart', 'Unknown'})"
0.04195804195804196,"frozenset({'Motor', 'Customs'})"
0.04195804195804196,"frozenset({'Delta Corp', 'Controller'})"
0.04195804195804196,"frozenset({'BlueDart', 'Weather'})"
0.04195804195804196,"frozenset({'Carrier issue', 'West'})"
0.04195804195804196,"frozenset({'Traffic', 'DTDC'})"
0.04195804195804196,"frozenset({'Supplier issue', 'Delhivery'})"
0.04195804195804196,"frozenset({'Epsilon Exports', 'DTDC'})"
0.04195804195804196,"frozenset({'South', 'Delhivery'})"
0.04195804195804196,"frozenset({'Delta Corp', 'Weather'})"
0.04195804195804196,"frozenset({'Delta Corp', 'DTDC'})"
0.04195804195804196,"frozenset({'Epsilon Exports', 'Customs'})"
0.04195804195804196,"frozenset({'East', 'Weather'})"
0.03496503496503497,"frozenset({'Valve', 'Alpha Ltd'})"
0.03496503496503497,"frozenset({'South', 'Alpha Ltd'})"
0.03496503496503497,"frozenset({'Sensor', 'Alpha Ltd'})"
0.03496503496503497,"frozenset({'Epsilon Exports', 'Amazon Logistics'})"
0.03496503496503497,"frozenset({'Beta Co', 'Supplier issue'})"
0.03496503496503497,"frozenset({'Beta Co', 'Pump'})"
0.03496503496503497,"frozenset({'Beta Co', 'DTDC'})"
0.03496503496503497,"frozenset({'Beta Co', 'Customs'})"
0.03496503496503497,"frozenset({'Amazon Logistics', 'Weather'})"
0.03496503496503497,"frozenset({'Carrier issue', 'Bearing'})"
0.03496503496503497,"frozenset({'Bearing', 'Delhivery'})"
0.03496503496503497,"frozenset({'Bearing', 'Epsilon Exports'})"
0.03496503496503497,"frozenset({'Gamma Industries', 'Amazon Logistics'})"
0.03496503496503497,"frozenset({'Supplier issue', 'Amazon Logistics'})"
0.03496503496503497,"frozenset({'Customs', 'Alpha Ltd'})"
0.03496503496503497,"frozenset({'BlueDart', 'Alpha Ltd'})"
0.03496503496503497,"frozenset({'BlueDart', 'Supplier issue'})"
0.03496503496503497,"frozenset({'Controller', 'DTDC'})"
0.03496503496503497,"frozenset({'Controller', 'Gamma Industries'})"
0.03496503496503497,"frozenset({'Controller', 'Supplier issue'})"
0.03496503496503497,"frozenset({'Sensor', 'Delhivery'})"
0.03496503496503497,"frozenset({'Gamma Industries', 'Delhivery'})"
0.03496503496503497,"frozenset({'Valve', 'DTDC'})"
0.03496503496503497,"frozenset({'Customs', 'Delhivery'})"
0.03496503496503497,"frozenset({'BlueDart', 'Carrier issue'})"
0.03496503496503497,"frozenset({'West', 'Beta Co'})"
0.03496503496503497,"frozenset({'BlueDart', 'Controller'})"
0.03496503496503497,"frozenset({'BlueDart', 'Delta Corp'})"
0.03496503496503497,"frozenset({'BlueDart', 'Traffic'})"
0.03496503496503497,"frozenset({'Carrier issue', 'Gamma Industries'})"
0.03496503496503497,"frozenset({'Carrier issue', 'Epsilon Exports'})"
0.03496503496503497,"frozenset({'Carrier issue', 'Motor'})"
0.03496503496503497,"frozenset({'Controller', 'Delhivery'})"
0.03496503496503497,"frozenset({'Delta Corp', 'Motor'})"
0.03496503496503497,"frozenset({'Delta Corp', 'Pump'})"
0.03496503496503497,"frozenset({'Epsilon Exports', 'East'})"
0.03496503496503497,"frozenset({'North', 'Gamma Industries'})"
0.03496503496503497,"frozenset({'Traffic', 'Gamma Industries'})"
0.03496503496503497,"frozenset({'Valve', 'East'})"
0.03496503496503497,"frozenset({'Traffic', 'Motor'})"
0.03496503496503497,"frozenset({'West', 'Sensor'})"
0.03496503496503497,"frozenset({'Sensor', 'Unknown'})"
0.03496503496503497,"frozenset({'Traffic', 'Pump'})"
0.03496503496503497,"frozenset({'West', 'Traffic'})"
0.03496503496503497,"frozenset({'BlueDart', 'West', 'Gamma Industries'})"
0.03496503496503497,"frozenset({'Bearing', 'East', 'DTDC'})"
0.03496503496503497,"frozenset({'North', 'DTDC', 'Weather'})"
0.03496503496503497,"frozenset({'DTDC', 'Gamma Industries', 'Supplier issue'})"
0.03496503496503497,"frozenset({'West', 'Motor', 'Delhivery'})"
0.03496503496503497,"frozenset({'West', 'Delhivery', 'Unknown'})"
0.03496503496503497,"frozenset({'Motor', 'East', 'Supplier issue'})"
0.03496503496503497,"frozenset({'West', 'Gamma Industries', 'Unknown'})"
